Judet;Localitate;Unit_adm;Prod_sfecla_t;Prod_oua_miibuc
ARGES;TEIU;comuna;0;1260
ARGES;TIGVENI;comuna;0;1080
ARGES;TITESTI;comuna;0;712
ARGES;UDA;comuna;0;990
ARGES;UNGHENI;comuna;125;1301
ARGES;VALEA DANULUI;comuna;0;920
ARGES;VALEA IASULUI;comuna;0;799
ARGES;VEDEA;comuna;0;1260
ARGES;VLADESTI;comuna;0;1002
BACAU;BACAU;municipiu;110;122577
BACAU;HEMEIUS;comuna;920;1288
BACAU;LETEA VECHE;comuna;2044;1104
BACAU;MAGURA;comuna;150;830
BACAU;MARGINENI;comuna;733;718
BACAU;ONESTI;municipiu;50;515
BACAU;GURA VAII;comuna;90;375
BACAU;STEFAN CEL MARE;comuna;160;1000
BACAU;BUHUSI;oras;96;1089
BACAU;COMANESTI;oras;0;957
BACAU;MOINESTI;oras;0;888
BACAU;SLANIC MOLDOVA;oras;0;639
BACAU;TARGU OCNA;oras;0;902
BACAU;AGAS;comuna;0;1007
BACAU;ARDEOANI;comuna;0;663
BACAU;ASAU;comuna;0;783
BACAU;BALCANI;comuna;0;750
BACAU;BERESTI-BISTRITA;comuna;2992;823
BACAU;BERESTI-TAZLAU;comuna;0;688
BACAU;BERZUNTI;comuna;0;744
BACAU;BARSANESTI;comuna;0;648
BACAU;BLAGESTI;comuna;220;1111
BACAU;BOGDANESTI;comuna;75;763
BACAU;BRUSTUROASA;comuna;0;444
BACAU;BUHOCI;comuna;305;640
BACAU;CASIN;comuna;0;275
BACAU;CAIUTI;comuna;0;945
BACAU;CLEJA;comuna;825;750
BACAU;COLONESTI;comuna;0;461
BACAU;CORBASCA;comuna;1440;525
BACAU;COTOFANESTI;comuna;20;798
BACAU;DAMIENESTI;comuna;2034;951
BACAU;DARMANESTI;oras;0;1110
BACAU;DEALU MORII;comuna;1164;1875
BACAU;DOFTEANA;comuna;0;1068
BACAU;FARAOANI;comuna;600;691
BACAU;FILIPENI;comuna;270;534
BACAU;FILIPESTI;comuna;2440;1289
BACAU;GAICEANA;comuna;1700;990
BACAU;GHIMES-FAGET;comuna;0;561
BACAU;GARLENI;comuna;148;8228
BACAU;GLAVANESTI;comuna;490;1955
BACAU;HELEGIU;comuna;0;694
BACAU;HORGESTI;comuna;1869;415
BACAU;HURUIESTI;comuna;300;714
BACAU;IZVORU BERHECIULUI;comuna;175;645
BACAU;LIPOVA;comuna;600;960
BACAU;LIVEZI;comuna;0;1579
BACAU;LUIZI-CALUGARA;comuna;0;717
BACAU;MAGIRESTI;comuna;0;508
BACAU;MANASTIREA CASIN;comuna;0;991
BACAU;MOTOSENI;comuna;1150;1250
BACAU;NEGRI;comuna;1758;1299
BACAU;NICOLAE BALCESCU;comuna;1300;1830
BACAU;OITUZ;comuna;0;1352
BACAU;ONCESTI;comuna;220;490
BACAU;ORBENI;comuna;1328;433
BACAU;PALANCA;comuna;0;217
BACAU;PARAVA;comuna;1050;153
BACAU;PARINCEA;comuna;2120;813
BACAU;PANCESTI;comuna;1000;721
BACAU;PARGARESTI;comuna;0;623
BACAU;PARJOL;comuna;0;825
BACAU;PLOPANA;comuna;200;332
BACAU;PODU TURCULUI;comuna;780;1700
BACAU;PODURI;comuna;0;1190
BACAU;RACOVA;comuna;510;432
BACAU;RACACIUNI;comuna;2265;659
BACAU;RACHITOASA;comuna;0;1746
BACAU;ROSIORI;comuna;877;429
BACAU;SASCUT;comuna;4400;1985
BACAU;SANDULENI;comuna;0;696
BACAU;SAUCESTI;comuna;2267;598
BACAU;SCORTENI;comuna;0;1493
BACAU;SECUIENI;comuna;1500;1120
BACAU;SOLONT;comuna;0;741
BACAU;STANISESTI;comuna;588;936
BACAU;STRUGARI;comuna;0;520
BACAU;TAMASI;comuna;392;600
BACAU;TATARASTI;comuna;700;785
BACAU;TARGU TROTUS;comuna;0;595
BACAU;TRAIAN;comuna;1770;1099
BACAU;UNGURENI;comuna;1425;422
BACAU;URECHESTI;comuna;84;465
BACAU;VALEA SEACA;comuna;1260;540
BACAU;VULTURENI;comuna;1112;1643
BACAU;ZEMES;comuna;0;590
BIHOR;ORADEA;municipiu;1365;32146
BIHOR;SANMARTIN;comuna;180;2000
BIHOR;SANTANDREI;comuna;3530;2340
BIHOR;ALESD;oras;0;2535
BIHOR;ASTILEU;comuna;0;1272
BIHOR;BEIUS;oras;0;2412
BIHOR;STEI;oras;0;300
BIHOR;MARGHITA;oras;600;4920
BIHOR;NUCET;oras;0;541
BIHOR;SALONTA;oras;12875;6197
BIHOR;VASCAU;oras;0;1600
BIHOR;ABRAM;comuna;1085;1496
BIHOR;ABRAMUT;comuna;600;1600
BIHOR;AUSEU;comuna;0;938
BIHOR;AVRAM IANCU;comuna;4117;1380
BIHOR;BALC;comuna;240;477
BIHOR;BATAR;comuna;5140;2000
BIHOR;BIHARIA;comuna;3622;2841
BIHOR;BOIANU MARE;comuna;375;616
BIHOR;BOROD;comuna;0;1540
BIHOR;BORS;comuna;725;1638
BIHOR;BRATCA;comuna;0;2640
BIHOR;BRUSTURI;comuna;30;1603
BIHOR;BUDUREASA;comuna;0;690
BIHOR;BUDUSLAU;comuna;2000;920
BIHOR;BULZ;comuna;0;541
BIHOR;BUNTESTI;comuna;0;1045
BIHOR;CABESTI;comuna;0;518
BIHOR;CAPALNA;comuna;150;840
BIHOR;CARPINET;comuna;0;767
BIHOR;CEFA;comuna;21700;9350
BIHOR;CEICA;comuna;0;1380
BIHOR;CETARIU;comuna;1050;900
BIHOR;CHERECHIU;comuna;4242;828
BIHOR;CHISLAZ;comuna;1200;1950
BIHOR;CIUHOI;comuna;700;1560
BIHOR;CIUMEGHIU;comuna;5078;20557
BIHOR;CAMPANI;comuna;0;500
BIHOR;COCIUBA MARE;comuna;200;1540
BIHOR;COPACEL;comuna;300;1150
BIHOR;CRISTIORU DE JOS;comuna;0;315
BIHOR;CURATELE;comuna;0;770
BIHOR;CURTUISENI;comuna;6738;2090
BIHOR;DERNA;comuna;400;1440
BIHOR;DIOSIG;comuna;17952;5200
BIHOR;DOBRESTI;comuna;0;1300
BIHOR;DRAGANESTI;comuna;0;720
BIHOR;DRAGESTI;comuna;0;1035
BIHOR;FINIS;comuna;0;1800
BIHOR;GIRISU DE CRIS;comuna;2329;1920
BIHOR;HIDISELU DE SUS;comuna;0;1100
BIHOR;HOLOD;comuna;220;1560
BIHOR;HUSASAU DE TINCA;comuna;7850;972
BIHOR;INEU;comuna;154;1354
BIHOR;LAZURI DE BEIUS;comuna;0;1020
BIHOR;LAZARENI;comuna;360;2210
BIHOR;LUGASU DE JOS;comuna;0;960
BIHOR;LUNCA;comuna;0;1474
BIHOR;MADARAS;comuna;7906;1287
BIHOR;MAGESTI;comuna;0;1105
BIHOR;NOJORID;comuna;5667;3390
BIHOR;OLCEA;comuna;600;2232
BIHOR;OSORHEI;comuna;450;1680
BIHOR;PIETROASA;comuna;0;500
BIHOR;POCOLA;comuna;0;690
BIHOR;POMEZEU;comuna;0;1287
BIHOR;POPESTI;comuna;500;1472
BIHOR;RABAGANI;comuna;100;1700
BIHOR;REMETEA;comuna;0;672
BIHOR;RIENI;comuna;0;1045
BIHOR;ROSIA;comuna;0;405
BIHOR;SACADAT;comuna;0;1246
BIHOR;SACUENI;comuna;8811;3173
BIHOR;SALACEA;comuna;6022;1563
BIHOR;SALARD;comuna;4248;1890
BIHOR;SAMBATA;comuna;0;360
BIHOR;SARBI;comuna;1400;1200
BIHOR;SPINUS;comuna;600;600
BIHOR;SUPLACU DE BARCAU;comuna;960;1088
BIHOR;SIMIAN;comuna;4935;1680
BIHOR;SINTEU;comuna;0;360
BIHOR;SOIMI;comuna;0;560
BIHOR;SUNCUIUS;comuna;0;1558
BIHOR;TARCEA;comuna;5199;1683
BIHOR;TARCAIA;comuna;0;702
BIHOR;TAUTEU;comuna;2400;1411
BIHOR;TILEAGD;comuna;0;2014
BIHOR;TINCA;comuna;1000;2124
BIHOR;TULCA;comuna;5030;1200
BIHOR;TETCHEA;comuna;200;1403
BIHOR;UILEACU DE BEIUS;comuna;0;840
BIHOR;VADU CRISULUI;comuna;0;1166
BIHOR;VALEA LUI MIHAI;oras;9141;2548
BIHOR;VIISOARA;comuna;300;651
BIHOR;VARCIOROG;comuna;0;1100
BISTRITA NASAUD;BISTRITA;municipiu;1141;1599
BISTRITA NASAUD;BECLEAN;oras;265;3998
BISTRITA NASAUD;NASAUD;oras;0;662
BISTRITA NASAUD;SANGEORZ-BAI;oras;0;761
BISTRITA NASAUD;BISTRITA BARGAULUI;comuna;0;1455
BISTRITA NASAUD;BRANISTEA;comuna;108;1248
BISTRITA NASAUD;BUDACU DE JOS;comuna;300;1152
BISTRITA NASAUD;BUDESTI;comuna;1000;399
BISTRITA NASAUD;CAIANU MIC;comuna;0;340
BISTRITA NASAUD;CETATE;comuna;20;1181
BISTRITA NASAUD;CICEU-GIURGESTI;comuna;0;1504
BISTRITA NASAUD;CHIOCHIS;comuna;1152;4986
BISTRITA NASAUD;CHIUZA;comuna;375;1352
BISTRITA NASAUD;COSBUC;comuna;0;231
BISTRITA NASAUD;DUMITRA;comuna;300;795
BISTRITA NASAUD;FELDRU;comuna;0;1250
BISTRITA NASAUD;GALATII BISTRITEI;comuna;850;270
BISTRITA NASAUD;ILVA MARE;comuna;0;345
BISTRITA NASAUD;ILVA MICA;comuna;0;871
BISTRITA NASAUD;JOSENII BARGAULUI;comuna;0;1008
BISTRITA NASAUD;LECHINTA;comuna;2680;2400
BISTRITA NASAUD;LESU;comuna;0;523
BISTRITA NASAUD;LIVEZILE;comuna;0;1015
BISTRITA NASAUD;LUNCA ILVEI;comuna;0;120
BISTRITA NASAUD;MAIERU;comuna;0;1420
BISTRITA NASAUD;MATEI;comuna;800;1680
BISTRITA NASAUD;MAGURA ILVEI;comuna;0;720
BISTRITA NASAUD;MARISELU;comuna;8;438
BISTRITA NASAUD;MICESTII DE CAMPIE;comuna;850;455
BISTRITA NASAUD;MILAS;comuna;650;9506
BISTRITA NASAUD;MONOR;comuna;10;600
BISTRITA NASAUD;NIMIGEA;comuna;0;1001
BISTRITA NASAUD;NUSENI;comuna;450;1320
BISTRITA NASAUD;PARVA;comuna;0;320
BISTRITA NASAUD;PETRU RARES;comuna;600;1300
BISTRITA NASAUD;PRUNDU BARGAULUI;comuna;0;632
BISTRITA NASAUD;REBRA;comuna;0;0
BISTRITA NASAUD;REBRISOARA;comuna;0;441
BISTRITA NASAUD;RODNA;comuna;0;365
BISTRITA NASAUD;ROMULI;comuna;0;490
BISTRITA NASAUD;SALVA;comuna;0;491
BISTRITA NASAUD;SILIVASU DE CIMPIE;comuna;1875;1800
BISTRITA NASAUD;SANMIHAIU DE CIMPIE;comuna;650;380
BISTRITA NASAUD;SPERMEZEU;comuna;0;910
BISTRITA NASAUD;SANT;comuna;0;289
BISTRITA NASAUD;SIEU;comuna;60;1197
BISTRITA NASAUD;SIEU-MAGHERUS;comuna;240;2240
BISTRITA NASAUD;SIEU-ODORHEI;comuna;660;709
BISTRITA NASAUD;SIEUT;comuna;0;946
BISTRITA NASAUD;SINTEREAG;comuna;750;1040
BISTRITA NASAUD;TEACA;comuna;2050;980
BISTRITA NASAUD;TELCIU;comuna;0;1496
BISTRITA NASAUD;TIHA BARGAULUI;comuna;0;930
BISTRITA NASAUD;TARLISUA;comuna;0;364
BISTRITA NASAUD;URIU;comuna;575;990
BISTRITA NASAUD;URMENIS;comuna;960;2160
BISTRITA NASAUD;ZAGRA;comuna;0;612
BOTOSANI;BOTOSANI;municipiu;954;3256
BOTOSANI;CURTESTI;comuna;1800;4740
BOTOSANI;RACHITI;comuna;1932;1682
BOTOSANI;STAUCENI;comuna;1130;1417
BOTOSANI;DARABANI;oras;2700;3084
BOTOSANI;DOROHOI;municipiu;2690;2984
BOTOSANI;SAVENI;oras;2377;2716
BOTOSANI;ALBESTI;comuna;2500;1404
BOTOSANI;AVRAMENI;comuna;2560;5006
BOTOSANI;BALUSENI;comuna;2622;4308
BOTOSANI;BRAESTI;comuna;2284;2103
BOTOSANI;BROSCAUTI;comuna;2358;1838
BOTOSANI;BUCECEA;comuna;1600;2988
BOTOSANI;CALARASI;comuna;1575;905
BOTOSANI;CONCESTI;comuna;2100;1215
BOTOSANI;COPALAU;comuna;3280;1789
BOTOSANI;CORDARENI;comuna;2080;3045
BOTOSANI;CORLATENI;comuna;2601;2103
BOTOSANI;CORNI;comuna;3348;1640
BOTOSANI;COTUSCA;comuna;4060;4453
BOTOSANI;CRISTESTI;comuna;3592;2912
BOTOSANI;CRISTINESTI;comuna;2850;3433
BOTOSANI;DERSCA;comuna;3829;1791
BOTOSANI;DANGENI;comuna;3000;3545
BOTOSANI;DOBARCENI;comuna;1800;3824
BOTOSANI;DRAGUSENI;comuna;1235;1440
BOTOSANI;DURNESTI;comuna;1454;3663
BOTOSANI;FLAMANZI;comuna;4532;4264
BOTOSANI;FRUMUSICA;comuna;1842;1761
BOTOSANI;GEORGE ENESCU;comuna;3150;4393
BOTOSANI;GORBANESTI;comuna;2700;2503
BOTOSANI;HAVARNA;comuna;3179;2880
BOTOSANI;HANESTI;comuna;1425;2086
BOTOSANI;HILISEU-HORIA;comuna;2000;1680
BOTOSANI;HLIPICENI;comuna;4141;2903
BOTOSANI;HUDESTI;comuna;6000;2980
BOTOSANI;IBANESTI;comuna;3940;2506
BOTOSANI;LEORDA;comuna;2264;1710
BOTOSANI;LUNCA;comuna;2696;2588
BOTOSANI;MANOLEASA;comuna;4188;3485
BOTOSANI;MIHAI EMINESCU;comuna;2870;21477
BOTOSANI;MIHAILENI;comuna;4814;2015
BOTOSANI;MIHALASENI;comuna;2247;2145
BOTOSANI;MILEANCA;comuna;2272;1456
BOTOSANI;MITOC;comuna;1800;847
BOTOSANI;NICSENI;comuna;4140;1819
BOTOSANI;PALTINIS;comuna;682;1505
BOTOSANI;POMARLA;comuna;1260;1375
BOTOSANI;PRAJENI;comuna;1050;1055
BOTOSANI;RADAUTI-PRUT;comuna;3483;1922
BOTOSANI;RAUSENI;comuna;2550;937
BOTOSANI;RIPICENI;comuna;3890;1589
BOTOSANI;ROMA;comuna;3420;1892
BOTOSANI;ROMANESTI;comuna;184;1934
BOTOSANI;SANTA MARE;comuna;870;2525
BOTOSANI;SUHARAU;comuna;3000;2262
BOTOSANI;SULITA;comuna;2800;3229
BOTOSANI;SENDRICENI;comuna;2024;2442
BOTOSANI;STEFANESTI;comuna;2276;2426
BOTOSANI;STIUBIENI;comuna;980;1573
BOTOSANI;TODIRENI;comuna;1294;2160
BOTOSANI;TRUSESTI;comuna;2160;2375
BOTOSANI;TUDORA;comuna;3240;4052
BOTOSANI;UNGURENI;comuna;2250;1152
BOTOSANI;UNTENI;comuna;1820;783
BOTOSANI;VACULESTI;comuna;3750;1056
BOTOSANI;VIISOARA;comuna;900;1235
BOTOSANI;VARFU CAMPULUI;comuna;5000;1309
BOTOSANI;VLADENI;comuna;5280;1672
BOTOSANI;VLASINESTI;comuna;1409;2704
BOTOSANI;VORNICENI;comuna;4500;2850
BOTOSANI;VORONA;comuna;3200;2517
BRASOV;BRASOV;municipiu;10445;91486
BRASOV;GHIMBAV;comuna;570;481
BRASOV;CODLEA;oras;3493;23564
BRASOV;FAGARAS;municipiu;252;975
BRASOV;PREDEAL;oras;0;115
BRASOV;RASNOV;oras;1000;14547
BRASOV;RUPEA;oras;800;900
BRASOV;SACELE;oras;2443;996
BRASOV;VICTORIA;oras;0;680
BRASOV;ZARNESTI;oras;0;1251
BRASOV;APATA;comuna;660;656
BRASOV;BECLEAN;comuna;134;731
BRASOV;BOD;comuna;6468;440
BRASOV;BRAN;comuna;0;700
BRASOV;BUDILA;comuna;804;567
BRASOV;BUNESTI;comuna;340;540
BRASOV;CATA;comuna;1125;495
BRASOV;CINCU;comuna;160;800
BRASOV;COMANA;comuna;300;660
BRASOV;CRISTIAN;comuna;2800;480
BRASOV;DUMBRAVITA;comuna;641;399
BRASOV;FELDIOARA;comuna;12300;1102
BRASOV;FUNDATA;comuna;0;520
BRASOV;HALCHIU;comuna;18067;639
BRASOV;HARMAN;comuna;8733;2249
BRASOV;HARSENI;comuna;0;2151
BRASOV;HOGHIZ;comuna;1535;829
BRASOV;HOMOROD;comuna;1013;720
BRASOV;JIBERT;comuna;1145;1520
BRASOV;LISA;comuna;0;1020
BRASOV;MAIERUS;comuna;1180;384
BRASOV;MANDRA;comuna;1000;1502
BRASOV;MOIECIU;comuna;0;728
BRASOV;ORMENIS;comuna;680;699
BRASOV;PARAU;comuna;540;699
BRASOV;POIANA MARULUI;comuna;0;1401
BRASOV;PREJMER;comuna;7475;335
BRASOV;RACOS;comuna;200;765
BRASOV;RECEA;comuna;0;2450
BRASOV;SERCAIA;comuna;225;846
BRASOV;SINCA;comuna;80;1891
BRASOV;SANPETRU;comuna;4570;900
BRASOV;SOARS;comuna;258;439
BRASOV;TARLUNGENI;comuna;470;819
BRASOV;TELIU;comuna;1250;269
BRASOV;TICUSU;comuna;200;296
BRASOV;UCEA;comuna;125;1304
BRASOV;UNGRA;comuna;2090;924
BRASOV;VAMA BUZAULUI;comuna;0;1600
BRASOV;VISTEA;comuna;0;1022
BRASOV;VOILA;comuna;250;1000
BRASOV;VULCAN;comuna;5898;1200
BRAILA;BRAILA;municipiu;0;37672
BRAILA;CHISCANI;comuna;1700;1365
BRAILA;FAUREI;oras;20;922
BRAILA;SURDILA-GRECI;comuna;1065;1000
BRAILA;BARAGANUL;comuna;3158;1785
BRAILA;BERTESTII DE JOS;comuna;720;776
BRAILA;BORDEI VERDE;comuna;1325;4956
BRAILA;CIOCILE;comuna;1875;2639
